ResponseId,Climate_Belief,Climate_Policy_Support,Cliamte_Info_Sharing,No_Trees_Planted,Age,Edu,Conservatism ,Income,SES,PerceivedSciConsenss,,,,,,,,,,,,,,,,,,
R_0AGOlETeZCp1XTX,43.5,27.33333,0,1,57,2,65,5,3,43,,,,,,,,,,,,,,,,,,
R_0AHjXjdkqvZhF3X,94.25,49.71429,0,8,71,3,64,4,5,90,,,,,,,,,,,,,,,,,,
R_0AkRpy3G7LtvaQ9,67.5,70.66667,1,0,46,4,83,5,7,83,,,,,,,,,,,,,,,,,,
R_0BceZD14EgRRA5j,70,46.55556,0,1,70,3,45,2,6,71,,,,,,,,,,,,,,,,,,
R_0CE9BMVcbWWMieR,81,78.66667,0,8,35,3,80,6,9,66,,,,,,,,,,,,,,,,,,
R_0CK9ISTqBnCz2o1,100,62.88889,0,0,51,3,55,4,6,92,,,,,,,,,,,,,,,,,,
R_0CXMTXQnahIwzhT,100,90,1,8,43,3,17,7,10,50,,,,,,,,,,,,,,,,,,
R_0CXwgNkrHRUMG53,75.5,65.88889,0,8,66,3,18,2,3,72,,,,,,,,,,,,,,,,,,
R_0cZfv1Jnj6c7Wvf,67.5,62.77778,1,8,33,2,,5,3,39,,,,,,,,,,,,,,,,,,
R_0dLlUGPWas1ppfP,90,65.11111,0,1,53,3,43,6,5,100,,,,,,,,,,,,,,,,,,
R_0Dmvj53aWMuKKAx,26.5,51.22222,0,8,20,3,100,3,6,74,,,,,,,,,,,,,,,,,,
R_0Ds13ztGyOe5UUp,100,68,,8,64,3,10,3,4,87,,,,,,,,,,,,,,,,,,
R_0e6GQqKfav3BsZz,79.25,40.44444,0,8,68,3,59,4,8,92,,,,,,,,,,,,,,,,,,
R_0emBP4xBMbz3IU9,100,88.77778,0,8,64,3,2,3,8,100,,,,,,,,,,,,,,,,,,
R_0euKh57nv8JdxCx,52.5,61.77778,0,8,23,3,42,4,5,37,,,,,,,,,,,,,,,,,,
R_0GqZ4iEsv1xA7Zf,80.75,49.11111,1,2,22,2,99,8,10,100,,,,,,,,,,,,,,,,,,
R_0GTCYrFD5eEnAOd,67.5,69.88889,1,8,38,3,84,8,7,87,,,,,,,,,,,,,,,,,,
R_0GwyAudfaxP58yZ,87,57.11111,,0,25,4,67,9,5,54,,,,,,,,,,,,,,,,,,
R_0H3YAIRqSaRrL8t,50.5,34.57143,,8,74,2,,5,5,43,,,,,,,,,,,,,,,,,,
R_0HfKAUaVlJrPXXj,72.25,68.55556,1,8,38,3,50,5,10,53,,,,,,,,,,,,,,,,,,
R_0I27VMqSvCF0ESZ,75,71.55556,1,8,38,3,73,8,7,75,,,,,,,,,,,,,,,,,,
R_0IccgwBQD3TPkgp,100,99.66667,1,8,75,3,61,4,6,97,,,,,,,,,,,,,,,,,,
R_0IcoELdbNRJO1l7,100,97.33333,,8,52,4,5,5,6,98,,,,,,,,,,,,,,,,,,
R_0Ik09y97mX91LDH,96.25,85.22222,0,8,24,3,4,9,2,95,,,,,,,,,,,,,,,,,,
R_0IKpB2n6cWeodLb,90,81.22222,,8,29,3,51,4,4,60,,,,,,,,,,,,,,,,,,
R_0In7CVNU7ysmS0p,75.25,2.166667,1,0,65,4,100,5,5,58,,,,,,,,,,,,,,,,,,
R_0ivNqACAf6k1WdX,33.75,33.88889,1,8,32,3,32,6,4,71,,,,,,,,,,,,,,,,,,
R_0iWK6oDy8GfURA5,100,73.33333,1,8,18,3,100,4,6,90,,,,,,,,,,,,,,,,,,
R_0J1YThSC9ohFdhD,93.75,81.33333,,8,49,3,71,5,6,86,,,,,,,,,,,,,,,,,,
R_0J8EYjdewLU4qaJ,29,44.375,0,8,68,3,73,5,5,21,,,,,,,,,,,,,,,,,,
R_0J9dKnxGqPuPDDb,28.25,33.55556,1,1,36,3,100,5,8,12,,,,,,,,,,,,,,,,,,
R_0JaYOaGeMEXpvWh,72.25,77.66667,,8,56,3,19,4,5,90,,,,,,,,,,,,,,,,,,
R_0jQnodwZEfrxBDP,94.5,66.66667,1,8,40,4,13,5,8,73,,,,,,,,,,,,,,,,,,
R_0jr6KPTriG2QBUt,54.25,54.88889,0,0,18,2,57,7,7,57,,,,,,,,,,,,,,,,,,
R_0kQFgvuBfrM8Mpj,2.5,13.88889,,0,49,3,84,5,6,3,,,,,,,,,,,,,,,,,,
R_0kQQD1QipKiEGHf,87.25,87.55556,1,2,46,4,80,4,5,92,,,,,,,,,,,,,,,,,,
R_0kvYBFgNMz1vfgJ,91,89.11111,1,8,36,2,96,3,9,88,,,,,,,,,,,,,,,,,,
R_0lhyx5qkZ7WBHwZ,6.25,33.88889,0,1,46,3,54,5,5,59,,,,,,,,,,,,,,,,,,
R_0NBqKY8L9SNSDTP,0,#DIV/0!,0,0,63,3,100,4,8,0,,,,,,,,,,,,,,,,,,
R_0NvUZbi5mR7SKI1,100,77.77778,,8,33,2,51,1,5,80,,,,,,,,,,,,,,,,,,
R_0oC2MRtEBmv4yjf,49.75,60.33333,0,8,32,5,54,9,5,48,,,,,,,,,,,,,,,,,,
R_0oM7UISDD1IuD3X,13.5,12.77778,1,8,55,3,43,3,3,11,,,,,,,,,,,,,,,,,,
R_0OmuviS7STOgnTj,100,76,,8,62,2,100,2,1,100,,,,,,,,,,,,,,,,,,
R_0OoeXmjV1mLC8eZ,62,45.44444,1,8,31,4,21,5,7,20,,,,,,,,,,,,,,,,,,
R_0OOlzaPjJhpCucx,5.25,33.55556,1,8,56,2,98,5,4,41,,,,,,,,,,,,,,,,,,
R_0p63SpEZJBTEv2V,72.25,87.77778,,8,45,2,75,4,4,66,,,,,,,,,,,,,,,,,,
R_0p7UoeOhKo8ya7T,73.5,71.55556,1,2,52,3,96,4,4,73,,,,,,,,,,,,,,,,,,
R_0pL1u2vCWD0bcgF,80,83.55556,1,8,47,3,83,6,5,79,,,,,,,,,,,,,,,,,,
R_0pUxEkgEX7HFB2F,100,88.88889,0,8,34,3,2,9,5,90,,,,,,,,,,,,,,,,,,
R_0qagQ2Kw5JUb2I9,91,90.44444,1,3,67,3,21,4,6,81,,,,,,,,,,,,,,,,,,
R_0qVe1GwPmSktydX,0,2.222222,,0,62,3,50,5,4,10,,,,,,,,,,,,,,,,,,
R_0TboPt4NrFLgtmF,13.75,18.88889,0,0,61,2,100,5,1,63,,,,,,,,,,,,,,,,,,
R_0TciBxpLRDvdvQ5,37,27.44444,0,8,70,2,100,4,2,60,,,,,,,,,,,,,,,,,,
R_0TE2r6C38cpWEcV,100,100,,8,43,3,0,5,6,99,,,,,,,,,,,,,,,,,,
R_0ulyAJfblnStJyV,100,74,,8,55,2,5,5,3,91,,,,,,,,,,,,,,,,,,
R_0UqwyzdSKUjwf6x,96,45,1,0,32,3,62,4,2,87,,,,,,,,,,,,,,,,,,
R_0v83I20JuiUgLsZ,92.75,66.375,0,8,70,3,52,5,6,70,,,,,,,,,,,,,,,,,,
R_0vmq9u45qFplYIx,100,92.55556,1,8,66,3,80,4,7,73,,,,,,,,,,,,,,,,,,
R_0VWCvhvZXp9aBHz,62.25,66,1,0,55,4,62,5,7,78,,,,,,,,,,,,,,,,,,
R_0waaFljzqHcKXYt,1,12.33333,0,0,68,3,90,5,8,60,,,,,,,,,,,,,,,,,,
R_0x2eROFCinDqYlX,6,4.375,1,8,30,3,7,5,5,13,,,,,,,,,,,,,,,,,,
R_0xCzytBhkF9Wocp,73,62.55556,,4,66,3,56,4,6,70,,,,,,,,,,,,,,,,,,
R_0xIpWIZz5UsiTjr,90.75,53,0,8,23,3,1,2,4,75,,,,,,,,,,,,,,,,,,
R_0xOxzdHjrtt15Fn,80.75,69.22222,0,4,64,2,51,4,7,80,,,,,,,,,,,,,,,,,,
R_0xpOKm7WMOVa2Ln,77,55.11111,,8,62,3,49,5,5,70,,,,,,,,,,,,,,,,,,
R_10B1z6eBrZKS8Xy,50.75,35.33333,0,8,63,2,65,3,2,77,,,,,,,,,,,,,,,,,,
R_10BgtRziTMsyejz,84.5,71.66667,1,8,38,3,84,5,9,73,,,,,,,,,,,,,,,,,,
R_10BoSBamMwJKihH,45,41.66667,1,1,35,3,0,5,1,44,,,,,,,,,,,,,,,,,,
R_10BqT1GniZFGRN6,34.25,42.77778,1,1,33,3,55,7,8,66,,,,,,,,,,,,,,,,,,
R_10Bsm9qTIaU1cvE,58.5,70.42857,,3,41,3,64,6,6,60,,,,,,,,,,,,,,,,,,
R_10DeTfeBVgOVHbR,59.25,38.33333,0,0,21,2,51,5,4,57,,,,,,,,,,,,,,,,,,
R_10GIuf2eAF7DfAr,97.25,59.33333,1,3,24,3,100,4,4,69,,,,,,,,,,,,,,,,,,
R_10GYAAkQNwh19fl,59.75,73.22222,1,0,36,3,60,6,7,61,,,,,,,,,,,,,,,,,,
R_10HFdGsIUXhH3ts,99.25,97.44444,0,1,22,3,88,2,6,78,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
